NAME	CODE	POLYID	core	periphery	NATION	CNTRYNAME	GDP89	GDP90	GDP91	GROWTH	MANUF80	MANUF89	AGRI	XCOO	YCOO	INV
Alsace	FR42	68	1	0	33	France	9.665606	9.713216	9.691353	0.035100	0.326172	0.295704	0.035072	7.285699	48.321063	0.240494
Franche-Comte	FR43	69	1	0	33	France	9.535795	9.597098	9.549281	0.037282	0.379592	0.327385	0.066887	5.926009	47.214171	0.215036
Pays de la Loire	FR51	70	1	0	33	France	9.524169	9.570738	9.529504	0.036922	0.254023	0.241192	0.112967	-0.972609	47.366293	0.211690
Bretagne	FR52	71	1	0	33	France	9.438145	9.491081	9.490770	0.040443	0.173705	0.188135	0.130327	-3.384155	48.304827	0.220915
Poitou-Charentes	FR53	72	1	0	33	France	9.440334	9.476597	9.449973	0.035514	0.214059	0.197323	0.134517	-0.314858	46.166076	0.211121
Aquitaine	FR61	73	1	0	33	France	9.550738	9.604718	9.566427	0.039087	0.187867	0.171558	0.109899	-0.281581	44.377161	0.196532
Midi-Pyrenees	FR62	74	1	0	33	France	9.483978	9.544259	9.512787	0.036552	0.194671	0.179034	0.121145	1.410173	43.770266	0.205375
Limousin	FR63	75	1	0	33	France	9.365165	9.437819	9.416610	0.041825	0.219211	0.192979	0.149273	1.676249	45.731209	0.191715
Rhone-Alpes	FR71	76	1	0	33	France	9.637480	9.706992	9.686190	0.037311	0.305726	0.263782	0.044165	5.046873	45.278688	0.226807
Auvergne	FR72	77	1	0	33	France	9.431100	9.477891	9.460027	0.040758	0.266143	0.235229	0.117722	3.177454	45.590878	0.207586
Languedoc-Roussillon	FR81	78	1	0	33	France	9.367538	9.450050	9.433019	0.039272	0.144291	0.125640	0.096594	3.176352	43.545592	0.231800
Provence-Alpes-Cote d'Azur	FR82	79	1	0	33	France	9.578068	9.630727	9.600042	0.031620	0.155829	0.132395	0.041023	5.897536	43.549276	0.213484
Corse	FR83	80	1	0	33	France	9.398454	9.462025	9.440430	0.047924	0.072415	0.069098	0.098383	8.972122	42.062456	0.185988
"Anatoliki Makedonia, Thrak"	GR11	81	0	1	30	Greece	8.604271	8.667663	8.719305	0.059544	0.214826	0.151011	0.442591	25.172840	40.909568	0.178229
Kentriki Makedonia	GR12	82	0	1	30	Greece	8.700245	8.753987	8.803268	0.059258	0.244709	0.226965	0.262126	23.490369	40.343691	0.160085
